7,3,-69,-69,-85,-69,-65,-76,-39,-50,-100,-100,-100,-100,-100,-100,-100
7,3.5,-72,-82,-80,-62,-64,-71,-37,-43,-100,-100,-100,-100,-100,-100,-100
7,4,-83,-79,-69,-76,-63,-62,-40,-44,-100,-100,-100,-100,-100,-100,-100
6.5,6,-84,-64,-68,-62,-55,-73,-40,-57,-100,-100,-100,-100,-100,-100,-100
7,6,-90,-67,-73,-64,-56,-72,-42,-40,-100,-100,-100,-100,-100,-100,-100
7.5,6,-77,-69,-77,-65,-58,-66,-46,-40,-100,-100,-100,-100,-100,-100,-100
0.5,0.5,-55,-79,-82,-79,-72,-87,-47,-49,-100,-100,-100,-100,-100,-100,-100
0.5,1,-63,-73,-83,-84,-74,-81,-49,-55,-100,-100,-100,-100,-100,-100,-100
0.5,1.5,-56,-76,-88,-77,-78,-79,-42,-53,-100,-100,-100,-100,-100,-100,-100
0.5,2,-60,-81,-86,-100,-72,-75,-41,-53,-100,-100,-100,-100,-100,-100,-100
0.5,2.5,-54,-73,-80,-77,-73,-81,-39,-46,-100,-100,-100,-100,-100,-100,-100
0.5,3,-56,-72,-79,-76,-76,-80,-38,-45,-100,-100,-100,-100,-100,-100,-100
0.5,3.5,-62,-70,-79,-71,-75,-81,-42,-39,-100,-100,-100,-100,-100,-100,-100
0.5,4,-75,-78,-86,-78,-73,-79,-46,-51,-100,-100,-100,-100,-100,-100,-100
1,3,-57,-81,-87,-73,-67,-77,-37,-55,-100,-100,-100,-100,-100,-100,-100
1,3.5,-61,-77,-87,-80,-75,-86,-37,-47,-100,-100,-100,-100,-100,-100,-100
1,4,-59,-76,-86,-73,-70,-79,-43,-43,-100,-100,-100,-100,-100,-100,-100
1.5,3,-62,-79,-83,-73,-66,-73,-39,-56,-100,-100,-100,-100,-100,-100,-100
1.5,3.5,-58,-73,-80,-78,-81,-74,-33,-41,-100,-100,-100,-100,-100,-100,-100
1.5,4,-64,-72,-80,-79,-76,-83,-41,-46,-100,-100,-100,-100,-100,-100,-100
1.5,4.5,-63,-77,-81,-72,-69,-73,-45,-45,-100,-100,-100,-100,-100,-100,-100
2,4,-57,-68,-80,-80,-71,-77,-35,-41,-100,-100,-100,-100,-100,-100,-100
2,4.5,-64,-76,-73,-79,-77,-71,-38,-40,-100,-100,-100,-100,-100,-100,-100
2.5,4.5,-69,-72,-80,-76,-76,-100,-31,-44,-100,-100,-100,-100,-100,-100,-100
3,4.5,-63,-68,-75,-84,-75,-80,-29,-41,-100,-100,-100,-100,-100,-100,-100
3,5,-67,-71,-77,-67,-73,-84,-30,-60,-100,-100,-100,-100,-100,-100,-100
3,5.5,-72,-72,-71,-67,-71,-72,-28,-28,-100,-100,-100,-100,-100,-100,-100
